horizon,MAE,RMSE
1,0.08295568379523546,0.10339175026062522
2,0.1688536917202141,0.2071217203888623
3,0.22438440689625988,0.2772109619083209
4,0.2511341341774901,0.3227907355415369
5,0.2855770410854327,0.3598986193419775
6,0.34164897791886834,0.4240347083234596
7,0.3864714388335102,0.4754623207048361
8,0.4134762593363901,0.5059756738712727
9,0.43555102120760203,0.5238644057319906
10,0.438106231295104,0.5384506497619463
11,0.44028481880739573,0.5536848233923032
12,0.4659843748910488,0.5976324968054422
