year,annual_mean,n,d_ppm,d_GtC,total_GtC,airborne_fraction
1980,338.91333333333336,12,2.0575000000000045,4.37013000000001,5.293579918090909,0.825552852251273
1981,340.1091666666667,12,1.1958333333333258,2.539949999999984,5.149024539545455,0.4932876082630217
1982,340.85583333333335,12,0.7466666666666697,1.5859200000000064,5.108111556000001,0.3104709015481819
1983,342.53,12,1.674166666666622,3.555929999999905,5.155029557181819,0.6897981787603719
1984,344.0733333333333,12,1.5433333333333508,3.278040000000037,5.3065226580000004,0.6177378692726646
1985,345.53749999999997,12,1.4641666666666424,3.1098899999999485,5.494053539181818,0.5660465406500348
1986,346.9683333333333,12,1.4308333333333394,3.039090000000013,5.574012228272728,0.5452248533982432
1987,348.6791666666666,12,1.7108333333333121,3.633809999999955,5.756233707818182,0.6312825685073338
1988,351.16,12,2.4808333333334076,5.269290000000158,5.977842539454546,0.8814701901601041
1989,352.7916666666667,12,1.6316666666666606,3.4656599999999873,6.054603390545455,0.5724008289976147
1990,354.06,12,1.2683333333333167,2.693939999999965,6.199675548818182,0.4345291908886263
1991,355.3966666666667,12,1.3366666666667015,2.839080000000074,6.3287975331818185,0.44859706525841725
1992,356.0941666666667,12,0.6974999999999909,1.4814899999999807,6.141933836181818,0.24120904580127497
1993,356.8283333333334,12,0.7341666666666811,1.5593700000000306,6.204510567545455,0.25132844613993904
1994,358.3283333333333,12,1.4999999999999432,3.1859999999998796,6.265799547,0.5084746130324745
1995,360.1766666666667,12,1.8483333333333576,3.9258600000000516,6.4136285157272725,0.6121121593452438
1996,361.93249999999995,12,1.7558333333332712,3.729389999999868,6.609130017545454,0.5642785041449245
1997,363.04333333333335,12,1.110833333333403,2.3594100000001483,6.649178544000001,0.3548423289263607
1998,365.6958333333334,12,2.652500000000032,5.633910000000068,6.626103545181818,0.8502598792161608
1999,367.7925,12,2.0966666666666356,4.453319999999934,6.773937455181819,0.6574197103921153
2000,368.965,12,1.1724999999999568,2.490389999999908,6.95767731109091,0.35793410482404714
2001,370.56749999999994,12,1.6024999999999636,3.403709999999923,7.007180071909091,0.4857460440677086
2002,372.5833333333333,12,2.0158333333333758,4.28163000000009,7.163272239,0.5977198488546919
2003,375.1408333333333,12,2.5575000000000045,5.43213000000001,7.5416428589999995,0.7202847047467181
2004,376.94666666666666,12,1.8058333333333394,3.835590000000013,7.8027338154545465,0.4915700177293017
2005,378.9783333333333,12,2.031666666666638,4.315259999999939,8.072441031272728,0.5345669275603963
2006,381.16083333333336,12,2.1825000000000614,4.6356300000001305,8.343859556181819,0.5555738287284179
2007,382.8983333333333,12,1.7374999999999545,3.6904499999999034,8.590706051454546,0.4295863434152831
2008,385.0208333333333,12,2.1225000000000023,4.508190000000005,8.740816441909091,0.515763033117232
2009,386.49666666666667,12,1.4758333333333553,3.134670000000047,8.594458249909092,0.36473154081971415
2010,388.75500000000005,12,2.2583333333333826,4.796700000000105,9.086638192363637,0.5278849997605525
2011,390.62083333333334,12,1.8658333333332848,3.9630299999998972,9.403633496454546,0.4214360333688121
2012,392.64916666666664,12,2.0283333333333076,4.308179999999945,9.533109605181819,0.4519175986037326
2013,395.3958333333333,12,2.7466666666666697,5.833920000000007,9.620678093727273,0.6063938469995945
2014,397.3441666666667,12,1.9483333333333803,4.1382600000001,9.672461973545454,0.42783936616327845
2015,399.64916666666664,12,2.30499999999995,4.895819999999894,9.655507503545454,0.5070494739092868
2016,403.06666666666666,12,3.417500000000018,7.258770000000039,9.65259009790909,0.7520023047049732
2017,405.2091666666667,12,2.142500000000041,4.550670000000087,9.81125725009091,0.4638212905851512
2018,407.6175,12,2.408333333333303,5.115299999999936,10.018364436,0.5105923259907188
2019,410.07916666666665,12,2.4616666666666447,5.228579999999954,10.114518187363636,0.5169381183704995
2020,412.4433333333333,12,2.3641666666666765,5.021490000000021,9.58860813518182,0.5236933170285203
2021,414.70250000000004,12,2.259166666666715,4.798470000000103,10.054599214909093,0.47724129996995485
2022,417.0825,12,2.3799999999999386,5.05511999999987,10.234846821272727,0.4939126191408162
2023,419.355,12,2.2725000000000364,4.826790000000077,10.389284773636364,0.4645930980974206
2024,422.7941666666666,12,3.4391666666666083,7.304789999999876,10.526884918090909,0.6939175318090803
