year,annual_mean,n_months,annual_rate
1979,336.85583333333335,12,
1980,338.91333333333336,12,2.0575000000000045
1981,340.1091666666667,12,1.1958333333333258
1982,340.85583333333335,12,0.7466666666666697
1983,342.53,12,1.674166666666622
1984,344.0733333333333,12,1.5433333333333508
1985,345.53749999999997,12,1.4641666666666424
1986,346.9683333333333,12,1.4308333333333394
1987,348.6791666666666,12,1.7108333333333121
1988,351.16,12,2.4808333333334076
1989,352.7916666666667,12,1.6316666666666606
1990,354.06,12,1.2683333333333167
1991,355.3966666666667,12,1.3366666666667015
1992,356.0941666666667,12,0.6974999999999909
1993,356.8283333333334,12,0.7341666666666811
1994,358.3283333333333,12,1.4999999999999432
1995,360.1766666666667,12,1.8483333333333576
1996,361.93249999999995,12,1.7558333333332712
1997,363.04333333333335,12,1.110833333333403
1998,365.6958333333334,12,2.652500000000032
1999,367.7925,12,2.0966666666666356
2000,368.965,12,1.1724999999999568
2001,370.56749999999994,12,1.6024999999999636
2002,372.5833333333333,12,2.0158333333333758
2003,375.1408333333333,12,2.5575000000000045
2004,376.94666666666666,12,1.8058333333333394
2005,378.9783333333333,12,2.031666666666638
2006,381.16083333333336,12,2.1825000000000614
2007,382.8983333333333,12,1.7374999999999545
2008,385.0208333333333,12,2.1225000000000023
2009,386.49666666666667,12,1.4758333333333553
2010,388.75500000000005,12,2.2583333333333826
2011,390.62083333333334,12,1.8658333333332848
2012,392.64916666666664,12,2.0283333333333076
2013,395.3958333333333,12,2.7466666666666697
2014,397.3441666666667,12,1.9483333333333803
2015,399.64916666666664,12,2.30499999999995
2016,403.06666666666666,12,3.417500000000018
2017,405.2091666666667,12,2.142500000000041
2018,407.6175,12,2.408333333333303
2019,410.07916666666665,12,2.4616666666666447
2020,412.4433333333333,12,2.3641666666666765
2021,414.70250000000004,12,2.259166666666715
2022,417.0825,12,2.3799999999999386
2023,419.355,12,2.2725000000000364
2024,422.7941666666666,12,3.4391666666666083
2025,425.6425,12,2.8483333333333576
