var,r_pearson
TCDC,0.7646003872200676
CRE_LW,-0.6817026019191874
PWAT,0.5289063711912896
APCP,0.5116527945729742
SPFH2m,0.4191993788993507
T500,0.4183612071973979
CRE_SW,0.339111040801265
CSDLF,0.31445894058498775
DUVB,0.24766790393941307
DLWRF,0.22087962729746996
DSWRF,0.21117150559218775
ULWRF,0.17349620780040137
CSULF,0.17305321043714414
T2m,0.1652221568059888
CRE_net,0.14237037945924974
CDUVB,0.10324325349875592
USWRF,0.04804194492969054
PRMSL,-0.02413190050398593
ALBDO,-0.01125150847939256
CSDSF,-0.002891888579052596
CSUSF,0.000752099763172962
