var,lambda,log_lambda,coef
T2m,0.0014563089583161596,-6.531850155072453,0.25233121922764423
T2m,0.001561552361122416,-6.462074849224148,0.25747649900733516
T2m,0.001674401412284394,-6.392299543375844,0.2629892145784271
T2m,0.001795405750880349,-6.3225242375275394,0.2693858168535985
T2m,0.00192515473687783,-6.2527489316792355,0.27475331381833956
T2m,0.0020642803216520053,-6.182973625830931,0.28108746401846224
T2m,0.002213460125948372,-6.113198319982627,0.28815932903767805
T2m,0.002373420740281281,-6.043423014134322,0.2957360745959074
T2m,0.002544941263843094,-5.973647708286018,0.3038598049200817
T2m,0.0027288570991604753,-5.903872402437713,0.3125643954200333
T2m,0.0029260640209799547,-5.834097096589408,0.32214468348087455
T2m,0.0031375225392005317,-5.7643217907411035,0.3281184593058395
T2m,0.0033642625771033293,-5.6945464848928,0.33117642872341563
T2m,0.0036073884876638776,-5.624771179044495,0.3347856628677502
T2m,0.003868084432379367,-5.554995873196191,0.3390060919939771
T2m,0.0041476201488088015,-5.485220567347886,0.3435029986869496
T2m,0.004447357134917257,-5.415445261499582,0.34831398044056044
T2m,0.004768755280345517,-5.345669955651277,0.3534532312911925
T2m,0.005113379976903147,-5.275894649802973,0.3578200977620656
T2m,0.005482909742917148,-5.206119343954669,0.3576520420015671
T2m,0.005879144398571105,-5.1363440381063645,0.3574706129531408
T2m,0.006304013832053391,-5.066568732258061,0.35726943085075336
T2m,0.006759587399210549,-4.996793426409755,0.35711177707660036
T2m,0.007248084002487481,-4.92701812056145,0.3576425766838508
T2m,0.007771882898244715,-4.857242814713146,0.35673879632889216
T2m,0.008333535285090399,-4.787467508864842,0.3550046837994078
T2m,0.008935776729668889,-4.717692203016537,0.3533473490091029
T2m,0.00958154049042655,-4.647916897168233,0.34435669191018636
T2m,0.010273971804249106,-4.578141591319929,0.32407399054043295
T2m,0.011016443205554576,-4.508366285471625,0.30232744342732426
T2m,0.011812570952454506,-4.43859097962332,0.2790106101001077
T2m,0.01266623263998823,-4.368815673775016,0.2540138021592434
T2m,0.01358158608621666,-4.299040367926711,0.22719949241965243
T2m,0.014563089583161597,-4.229265062078407,0.19845611269776678
T2m,0.015615523611224159,-4.159489756230102,0.1676338871929979
T2m,0.016744014122843938,-4.089714450381798,0.1345730477389552
T2m,0.017954057508803488,-4.0199391445334935,0.09913289360843057
T2m,0.01925154736877831,-3.950163838685189,0.061130474774501
T2m,0.020642803216520064,-3.880388532836885,0.02038067931052497
T2m,0.022134601259483733,-3.8106132269885804,0.0
T2m,0.02373420740281282,-3.740837921140276,0.0
T2m,0.02544941263843095,-3.6710626152919716,0.0
T2m,0.027288570991604765,-3.6012873094436673,0.0
T2m,0.02926064020979953,-3.531512003595363,0.0
T2m,0.03137522539200532,-3.461736697747058,0.0
T2m,0.033642625771033295,-3.3919613918987537,0.0
T2m,0.036073884876638776,-3.3221860860504493,0.0
T2m,0.03868084432379367,-3.252410780202145,0.0
T2m,0.04147620148808802,-3.1826354743538405,0.0
T2m,0.04447357134917257,-3.112860168505536,0.0
T2m,0.04768755280345517,-3.0430848626572318,0.0
T2m,0.05113379976903147,-2.973309556808928,0.0
T2m,0.05482909742917148,-2.903534250960623,0.0
T2m,0.05879144398571109,-2.833758945112318,0.0
T2m,0.06304013832053394,-2.7639836392640142,0.0
T2m,0.06759587399210545,-2.69420833341571,0.0
T2m,0.07248084002487477,-2.624433027567405,0.0
T2m,0.07771882898244711,-2.554657721719101,0.0
T2m,0.08333535285090395,-2.4848824158707967,0.0
T2m,0.08935776729668884,-2.4151071100224923,0.0
T2m,0.0958154049042655,-2.3453318041741875,0.0
T2m,0.10273971804249106,-2.275556498325883,0.0
T2m,0.11016443205554577,-2.2057811924775788,0.0
T2m,0.11812570952454506,-2.1360058866292744,0.0
T2m,0.12666232639988229,-2.06623058078097,0.0
T2m,0.1358158608621666,-1.9964552749326656,0.0
T2m,0.14563089583161595,-1.9266799690843612,0.0
T2m,0.1561552361122416,-1.8569046632360569,0.0
T2m,0.1674401412284394,-1.7871293573877525,0.0
T2m,0.1795405750880349,-1.717354051539448,0.0
T2m,0.192515473687783,-1.647578745691144,0.0
T2m,0.20642803216520053,-1.5778034398428396,0.0
T2m,0.22134601259483722,-1.5080281339945352,0.0
T2m,0.23734207402812835,-1.4382528281462297,0.0
T2m,0.2544941263843096,-1.3684775222979255,0.0
T2m,0.27288570991604777,-1.2987022164496211,0.0
T2m,0.29260640209799543,-1.2289269106013168,0.0
T2m,0.3137522539200532,-1.1591516047530124,0.0
T2m,0.33642625771033297,-1.089376298904708,0.0
T2m,0.3607388487663878,-1.0196009930564036,0.0
T2m,0.3868084432379367,-0.9498256872080992,0.0
T2m,0.41476201488088016,-0.880050381359795,0.0
T2m,0.4447357134917257,-0.8102750755114906,0.0
T2m,0.4768755280345517,-0.7404997696631863,0.0
T2m,0.5113379976903147,-0.6707244638148819,0.0
T2m,0.5482909742917148,-0.6009491579665776,0.0
T2m,0.5879144398571106,-0.5311738521182732,0.0
T2m,0.6304013832053391,-0.4613985462699689,0.002999528032930544
T2m,0.6759587399210549,-0.3916232404216634,0.030909312880298176
T2m,0.724808400248748,-0.32184793457335914,0.038337238618411845
T2m,0.7771882898244715,-0.25207262872505476,0.0
T2m,0.83335352850904,-0.18229732287675038,0.0
T2m,0.893577672966889,-0.11252201702844604,0.0
T2m,0.958154049042655,-0.042746711180141735,0.0
T2m,1.0273971804249107,0.027028594668162688,0.0
T2m,1.1016443205554576,0.0968039005164669,0.0
T2m,1.1812570952454506,0.16657920636477141,0.0
T2m,1.2666232639988229,0.2363545122130756,0.0
T2m,1.3581586086216662,0.3061298180613801,0.0
T2m,1.456308958316159,0.375905123909684,0.0
T500,0.0014563089583161596,-6.531850155072453,0.6365112372364973
T500,0.001561552361122416,-6.462074849224148,0.6365554258264802
T500,0.001674401412284394,-6.392299543375844,0.6366044183249637
T500,0.001795405750880349,-6.3225242375275394,0.6364759270067599
T500,0.00192515473687783,-6.2527489316792355,0.636277995721284
T500,0.0020642803216520053,-6.182973625830931,0.6361680155646189
T500,0.002213460125948372,-6.113198319982627,0.6361592315456841
T500,0.002373420740281281,-6.043423014134322,0.6361473121651094
T500,0.002544941263843094,-5.973647708286018,0.6361332251863869
T500,0.0027288570991604753,-5.903872402437713,0.6361165801025221
T500,0.0029260640209799547,-5.834097096589408,0.6360912333801665
T500,0.0031375225392005317,-5.7643217907411035,0.635167256355146
T500,0.0033642625771033293,-5.6945464848928,0.634564609773279
T500,0.0036073884876638776,-5.624771179044495,0.6336433111438347
T500,0.003868084432379367,-5.554995873196191,0.6325725844450685
T500,0.0041476201488088015,-5.485220567347886,0.6314302295768369
T500,0.004447357134917257,-5.415445261499582,0.6302073091197856
T500,0.004768755280345517,-5.345669955651277,0.6288999894551864
T500,0.005113379976903147,-5.275894649802973,0.6277735125305943
T500,0.005482909742917148,-5.206119343954669,0.628212679613453
T500,0.005879144398571105,-5.1363440381063645,0.628683782798436
T500,0.006304013832053391,-5.066568732258061,0.6291901920056804
T500,0.006759587399210549,-4.996793426409755,0.6297377191677364
T500,0.007248084002487481,-4.92701812056145,0.630421561102248
T500,0.007771882898244715,-4.857242814713146,0.6311819679210903
T500,0.008333535285090399,-4.787467508864842,0.6324273335142877
T500,0.008935776729668889,-4.717692203016537,0.6345591972970197
T500,0.00958154049042655,-4.647916897168233,0.6368541295372542
T500,0.010273971804249106,-4.578141591319929,0.6384630425535444
T500,0.011016443205554576,-4.508366285471625,0.6402023722526254
T500,0.011812570952454506,-4.43859097962332,0.6420767588685995
T500,0.01266623263998823,-4.368815673775016,0.6441237710979645
T500,0.01358158608621666,-4.299040367926711,0.646237662467161
T500,0.014563089583161597,-4.229265062078407,0.6485683114891506
T500,0.015615523611224159,-4.159489756230102,0.6510553512779673
T500,0.016744014122843938,-4.089714450381798,0.6536417825450618
T500,0.017954057508803488,-4.0199391445334935,0.6564859608938173
T500,0.01925154736877831,-3.950163838685189,0.6595290714873623
T500,0.020642803216520064,-3.880388532836885,0.6627890611303576
T500,0.022134601259483733,-3.8106132269885804,0.6647429078015791
T500,0.02373420740281282,-3.740837921140276,0.665394765288245
T500,0.02544941263843095,-3.6710626152919716,0.6661515338171794
T500,0.027288570991604765,-3.6012873094436673,0.6668820735531975
T500,0.02926064020979953,-3.531512003595363,0.6669020340687557
T500,0.03137522539200532,-3.461736697747058,0.6654942620540868
T500,0.033642625771033295,-3.3919613918987537,0.6636070836944508
T500,0.036073884876638776,-3.3221860860504493,0.6615946739418481
T500,0.03868084432379367,-3.252410780202145,0.6595361513364418
T500,0.04147620148808802,-3.1826354743538405,0.6573595241168628
T500,0.04447357134917257,-3.112860168505536,0.6550413004252662
T500,0.04768755280345517,-3.0430848626572318,0.6525610617479193
T500,0.05113379976903147,-2.973309556808928,0.6499149171296058
T500,0.05482909742917148,-2.903534250960623,0.6473718459235772
T500,0.05879144398571109,-2.833758945112318,0.6445872923341112
T500,0.06304013832053394,-2.7639836392640142,0.6415383247228196
T500,0.06759587399210545,-2.69420833341571,0.6382162663425482
T500,0.07248084002487477,-2.624433027567405,0.6346541168270821
T500,0.07771882898244711,-2.554657721719101,0.6308355532377292
T500,0.08333535285090395,-2.4848824158707967,0.626739901390065
T500,0.08935776729668884,-2.4151071100224923,0.622025962624182
T500,0.0958154049042655,-2.3453318041741875,0.6182134950234793
T500,0.10273971804249106,-2.275556498325883,0.6167960036488179
T500,0.11016443205554577,-2.2057811924775788,0.6150661263000137
T500,0.11812570952454506,-2.1360058866292744,0.6132170585726426
T500,0.12666232639988229,-2.06623058078097,0.6075235296523188
T500,0.1358158608621666,-1.9964552749326656,0.5996971477797176
T500,0.14563089583161595,-1.9266799690843612,0.5883428480798947
T500,0.1561552361122416,-1.8569046632360569,0.57596249998496
T500,0.1674401412284394,-1.7871293573877525,0.5626774070845093
T500,0.1795405750880349,-1.717354051539448,0.5504343544900407
T500,0.192515473687783,-1.647578745691144,0.5376549437619002
T500,0.20642803216520053,-1.5778034398428396,0.5239599757654408
T500,0.22134601259483722,-1.5080281339945352,0.5092661331939975
T500,0.23734207402812835,-1.4382528281462297,0.4935125343566011
T500,0.2544941263843096,-1.3684775222979255,0.4766315343529362
T500,0.27288570991604777,-1.2987022164496211,0.45851938448910917
T500,0.29260640209799543,-1.2289269106013168,0.4339044380139166
T500,0.3137522539200532,-1.1591516047530124,0.40631779008974217
T500,0.33642625771033297,-1.089376298904708,0.37673571031707664
T500,0.3607388487663878,-1.0196009930564036,0.34668342775749716
T500,0.3868084432379367,-0.9498256872080992,0.31981102938987566
T500,0.41476201488088016,-0.880050381359795,0.29097113367022714
T500,0.4447357134917257,-0.8102750755114906,0.26003318365165445
T500,0.4768755280345517,-0.7404997696631863,0.226907162452966
T500,0.5113379976903147,-0.6707244638148819,0.19136742828495798
T500,0.5482909742917148,-0.6009491579665776,0.15325655460894078
T500,0.5879144398571106,-0.5311738521182732,0.11246305668021069
T500,0.6304013832053391,-0.4613985462699689,0.0703193654497473
T500,0.6759587399210549,-0.3916232404216634,0.024547026131847442
T500,0.724808400248748,-0.32184793457335914,0.0
T500,0.7771882898244715,-0.25207262872505476,0.0
T500,0.83335352850904,-0.18229732287675038,0.0
T500,0.893577672966889,-0.11252201702844604,0.0
T500,0.958154049042655,-0.042746711180141735,0.0
T500,1.0273971804249107,0.027028594668162688,0.0
