date,year,month,T2m,T500,SPFH2m,PWAT,APCP,TCDC,DLWRF,ULWRF,DSWRF,USWRF,PRMSL,CSDSF,CSUSF,CSDLF,CSULF,CDUVB,DUVB,ALBDO,CRE_SW,CRE_LW,CRE_net,co2_avg,co2_trend
1979-01-01,1979,1,-0.3930983739289786,-0.5415405554760468,-9.005774551982398e-05,-0.5401589095194872,-0.010089800883054556,-2.5772228781625515,-2.2311680399474767,-1.6514709884888816,1.0522420715196859,0.3745058786590292,-3.7144957090786193,0.25433753272068316,0.3685468043431541,-2.189881275033599,-1.6527924283445827,-0.02759370966680663,-0.011181623053948098,0.27898205422635414,0.7919454644831418,-0.042608204769628344,0.74933725971351,-39.41297872340425,-39.13914893617016
1979-02-01,1979,2,-0.6761834683615575,-0.4434992738324013,-9.70399000410592e-05,-0.7930226454250224,-0.011597967769348183,-1.9229199318231025,-2.575956299083373,-2.6829862421725466,-0.09912624833833661,0.755492412377059,1.8262117893755203,0.4503600601265987,0.877158656955416,-3.231473757056449,-2.6868625262424644,-0.016988655601877234,-0.018601190741364793,0.35143635852688426,-0.42782006388659255,0.6516411739031476,0.22382111001655858,-39.16999999999996,-38.96170212765952
1979-03-01,1979,3,-0.4653053190733658,-0.45105323591195656,-0.00016059184376986113,-0.7602742174073782,-0.011266891939506696,-1.4124204750319578,-1.9462394236986142,-2.050403398005926,-0.6846753630542253,0.7307862242914425,-1.715107323063421,0.7619718148098968,1.1613120755779036,-2.847491594350231,-2.0470539705399347,-0.015548891538056608,-0.027130748852316255,0.36963782136243495,-1.016121326577661,0.9046015981176048,-0.1115197284600633,-39.01191489361696,-38.86468085106384
1979-04-01,1979,4,-0.49369595257593346,-0.4619744263540042,-0.0001973305598680017,-1.190161811753434,-0.017011829410167767,-1.9548003647598762,-3.280065434954224,-2.3788962762951655,0.514860595506093,1.3975509133747757,-4.5621736422908725,1.034502554233086,1.7473252192271715,-3.8231481705889223,-2.376739912716914,-0.016382602476986197,-0.015559855540613121,0.5054977467060606,-0.16986765287455086,0.5452390992129743,0.375371446338427,-38.96936170212763,-38.81638297872337
1979-05-01,1979,5,-0.3468492337694329,-0.34664610162144527,-0.00011556419580628641,-0.8303788574646802,-0.003557149197177867,-1.5650486717510859,-1.9883116142199242,-1.8931358812341728,-0.3579034702140973,0.574461642762433,-4.3918029879714595,0.7849989647377242,0.6872312770362896,-2.6948096246475757,-1.8845456103289848,-0.017745951004028537,-0.029506782429126854,0.15521478519078613,-1.0301328006779755,0.7150882813327897,-0.3150445193451876,-39.03851063829785,-38.98553191489361
1979-06-01,1979,6,-0.21707754847489014,-0.22056276735133906,-8.706061119692458e-05,-0.4773732908337607,-0.004445585356637971,-1.3153169325177174,-1.343016464330674,-1.2115865384661788,-0.6271040020656073,0.399426016143007,2.8271228025696473,0.6492758998640227,0.5563094369226071,-1.9549533851775323,-1.2074657009879957,-0.013003949061077602,-0.025435222239620803,0.10386723306653423,-1.1194964811500299,0.6160577583251907,-0.5034387228248391,-39.07021276595748,-39.231914893617045
1979-07-01,1979,7,-0.2731550644535332,-0.22765675712764732,-0.0001591673291712857,-0.7275357527448172,-0.011052752781247843,-1.365888970377469,-1.7606632488571563,-1.3658538554071242,-0.7076683556479111,0.293758353152878,-0.756687516492093,0.7851154442319626,0.522050252987647,-2.505143062148136,-1.3627658992099327,-0.010137403928430988,-0.025903859835949117,0.05702360989626776,-1.2644919000451154,0.7475677694881924,-0.5169241305569301,-39.28829787234042,-39.59148936170209
1979-08-01,1979,8,-0.19230660587032844,-0.41714142295620604,-0.00014622529190880772,-0.8305392414098982,-0.01895881096208274,-1.182053543608511,-1.2838174753133558,-0.8293402495684177,-1.2858259110468566,-0.009105446322571709,3.9015776487940457,0.7860624329498762,0.39895325475118426,-2.466918125758127,-0.8291648732737826,-0.01276750790865444,-0.03403743152032224,-0.00042841127451254124,-1.6638296429229698,1.1832760267394242,-0.4805536161835491,-39.19446808510634,-39.50999999999999
1979-09-01,1979,9,-0.1464870891563237,-0.44315008444050363,-0.0001514131427958476,-0.682203935651831,-0.014494163887224243,-1.6044474453608046,-1.3190774586508383,-0.6916458660906528,-1.137544149181167,-0.26617532811690126,5.329844234685879,0.6132526528901394,-0.038413000725075364,-1.9276070615514982,-0.6931998296071242,-0.02319750472631421,-0.04016822362517969,-0.052348425073828864,-1.52303447467947,0.6069756393841637,-0.9160588352953098,-38.67553191489361,-38.92489361702127
1979-10-01,1979,10,-0.14907877239920708,-0.3274060916856456,-0.00011527445328166075,-0.6142052553428563,-0.026057081066484855,-1.340077732421591,-1.0297962740658022,-0.47880063544818086,-0.8028677181808632,-0.7567421610026912,-2.335649864951847,0.524431744449771,-0.6305500595600648,-1.5778461554991168,-0.47722964848719585,-0.03083112649943054,-0.039781416140765025,-0.13892700968966132,-1.201107361188015,0.5496208683943031,-0.6514864927937154,-38.68000000000001,-38.788723404255336
