var,r_level,r_anom,r_resid,r_d1,r_d12,p_x_to_co2_d12,p_co2_to_x_d12,sens_d12,poids_corr,spurious_trend
CRE_LW,-0.6817026019191872,-0.7319100466703191,-0.5233131929541586,0.0703133566639055,0.0488453335015503,0.0246236754832817,0.5473117656638499,X -> CO2,fort,non
CRE_SW,0.339111040801265,0.5379728203795081,0.4889571016349677,0.1205272577605958,-0.0779076492441324,0.1438180137392215,0.0657591512708931,aucun,fort,non
DSWRF,0.2111715055921877,0.5387456146742531,0.4365826181628611,0.4648488996520658,-0.0067485469636089,0.0539912004300314,0.1509598830456636,aucun,fort,non
CRE_net,0.1423703794592497,0.3213233292005032,0.4316738348952535,0.1509431905851427,-0.0818094755071528,0.1118646211164124,0.0396477508364355,CO2 -> X,fort,non
PRMSL,-0.0241319005039859,-0.0214942332289191,-0.3935222625722438,0.186194694533449,0.010156634156066,0.000670346193431,0.5801594805434248,X -> CO2,modéré,non
CDUVB,0.1032432534987559,0.4895207080364745,-0.3090067724878715,0.3314889541362934,0.0359514460694928,0.0169457856822273,0.925587198150644,X -> CO2,modéré,non
APCP,0.5116527945729742,0.5953503050235178,-0.2804213541867775,-0.2924756435442839,0.0440246044222645,0.3667997726738886,0.0139812649518617,CO2 -> X,modéré,non
CSDLF,0.3144589405849877,0.8883325392037246,0.24167213037687,-0.5233316446217211,0.1021677769156703,3.0032424419908204e-09,0.1104763848370598,X -> CO2,modéré,OUI
T2m,0.1652221568059888,0.8019768945266211,0.2331060039565953,-0.4711410412517841,0.1148987435382851,2.531290618844056e-06,0.2435595269171134,X -> CO2,modéré,OUI
T500,0.4183612071973979,0.8375705549562815,0.2240153761417374,-0.5377480941687576,0.1727722940152987,2.2081956206959694e-08,0.0021508880379215,bidirectionnel,modéré,OUI
DUVB,0.247667903939413,0.7186886656164707,0.2181950636710938,0.4036298400244895,-0.0187863086364711,0.2085369650267053,0.3726951988342833,aucun,modéré,OUI
CSULF,0.1730532104371441,0.8283023681882825,0.1999934516204803,-0.4808953524024779,0.0753984713722868,6.488780067129757e-08,0.3736277848078668,X -> CO2,faible,OUI
ULWRF,0.1734962078004013,0.828470620024353,0.1999783157334672,-0.4811202549493244,0.075337968674582,6.223484169895329e-08,0.366936193155668,X -> CO2,faible,OUI
SPFH2m,0.4191993788993507,0.8451710311202718,0.1880993731842193,-0.5462182714779352,0.0662597511528345,6.492451474059042e-09,0.0268130642864836,bidirectionnel,faible,OUI
PWAT,0.5289063711912896,0.8819945182486442,0.1568731890100731,-0.5218824152809738,0.0964863838474419,1.0002309330352466e-08,0.0333146993691604,bidirectionnel,faible,OUI
CSDSF,-0.0028918885790524,-0.0194734605971422,-0.1347099073132563,0.3847828317504936,0.0960311628277666,0.0004217356350695,0.442746926227626,X -> CO2,faible,non
USWRF,0.0480419449296905,0.2938209634552696,0.1301943900735309,0.6976311725200456,0.0284733893611131,0.0200678589516956,0.0181395800842394,bidirectionnel,faible,non
ALBDO,-0.0112515084793925,-0.043912554864365,-0.1213382118110795,0.2417720320302624,0.0264776012474219,0.2887895209323206,0.0156727328482317,CO2 -> X,faible,non
CSUSF,0.0007520997631729,7.809951370963814e-05,-0.1140130287602143,0.7189888995397241,0.0603893872929239,0.0491786499424474,0.2596125776237044,X -> CO2,faible,non
TCDC,0.7646003872200676,0.7846751212371413,0.0802375875798346,0.3004159240507497,-0.0039633258729958,0.0303140145649698,0.0426215842715139,bidirectionnel,faible,OUI
DLWRF,0.2208796272974699,0.7212544524240809,-0.056127729410154,-0.5164742488439201,0.1101417264782592,1.1630758760515196e-08,0.1087069489303305,X -> CO2,faible,OUI
