zone,type,var,p_x_to_co2,p_co2_to_x,sens
austral,bande,T2m,0.18295611188058758,0.05807408333505637,none
austral,bande,T500,0.08983296855842612,0.02939600633697688,CO2 -> X
austral,bande,SPFH2m,0.24127268950907868,0.16858848937807572,none
austral,bande,PWAT,0.2867341282739869,0.06373145403250924,none
austral,bande,APCP,0.1528395686866725,0.623765215383685,none
austral,bande,TCDC,0.1750999908297836,0.28425939789165966,none
austral,bande,DLWRF,0.07061828265990401,0.045595165601299,CO2 -> X
austral,bande,ULWRF,0.2170273012868015,0.08021536039060666,none
austral,bande,DSWRF,0.7635983782649485,0.48115905724579844,none
austral,bande,USWRF,0.580911699593972,0.6791764711559785,none
austral,bande,PRMSL,0.30548347640871076,0.8455612962884436,none
austral,bande,CSDSF,0.8498166657623862,0.5381842269552308,none
austral,bande,CSUSF,0.49013974054879783,0.6895681671525562,none
austral,bande,CSDLF,0.13855809598250188,0.13393269570146457,none
austral,bande,CSULF,0.2174360782223887,0.08260636768796423,none
austral,bande,CDUVB,0.6488763318407937,0.7373927852281699,none
austral,bande,DUVB,0.6150426941984621,0.8143824030061335,none
austral,bande,ALBDO,0.43800647892268074,0.7749470828820206,none
boreal,bande,T2m,0.012678844883216713,0.43869700643142673,X -> CO2
boreal,bande,T500,0.04466996552124087,0.002609468208691102,bidirectional
boreal,bande,SPFH2m,0.0032137005766254426,0.7546991194025265,X -> CO2
boreal,bande,PWAT,0.0027370059181375727,0.5436142788127158,X -> CO2
boreal,bande,APCP,0.3615580374069532,0.19351135102212141,none
boreal,bande,TCDC,0.35783333536268425,0.14271958739913285,none
boreal,bande,DLWRF,0.0031312875361096146,0.718659555485276,X -> CO2
boreal,bande,ULWRF,0.010654415517121266,0.5722872960854943,X -> CO2
boreal,bande,DSWRF,0.24392342050937055,0.5824284991605471,none
boreal,bande,USWRF,0.0003661363596020852,0.332504639811783,X -> CO2
boreal,bande,PRMSL,0.05066179421243383,0.023292497952102205,CO2 -> X
boreal,bande,CSDSF,0.6925984328213386,0.8767309693393582,none
boreal,bande,CSUSF,0.0006698107413867767,0.3991920895168971,X -> CO2
boreal,bande,CSDLF,0.00336521380827378,0.4228521708242804,X -> CO2
boreal,bande,CSULF,0.010708562064267733,0.5780392172474406,X -> CO2
boreal,bande,CDUVB,0.3085174866875171,0.9760432664020668,none
boreal,bande,DUVB,0.13687147740758598,0.5880600666568997,none
boreal,bande,ALBDO,0.002380816294545032,0.46756581960844545,X -> CO2
global,bande,T2m,4.930877381608669e-05,0.05282986642310901,X -> CO2
global,bande,T500,3.9322059983713316e-08,0.00034004926253435047,bidirectional
global,bande,SPFH2m,2.8019270529533845e-08,0.01335656468135903,bidirectional
global,bande,PWAT,9.377879323688978e-08,0.05516016654737813,X -> CO2
global,bande,APCP,0.14465982390129073,0.01706779359045976,CO2 -> X
global,bande,TCDC,0.07067432436245023,0.07465320066135696,none
global,bande,DLWRF,6.763165554000964e-07,0.05978993077831632,X -> CO2
global,bande,ULWRF,2.299629637594085e-06,0.08654874163521452,X -> CO2
global,bande,DSWRF,0.183856722689875,0.14881982207890926,none
global,bande,USWRF,0.0022031226886573122,0.08017973617765485,X -> CO2
global,bande,PRMSL,0.000739741683715991,0.5289088720122992,X -> CO2
global,bande,CSDSF,0.027520933636788925,0.7045555466293657,X -> CO2
global,bande,CSUSF,0.008652912637672561,0.25589170115990856,X -> CO2
global,bande,CSDLF,1.2778859931238314e-07,0.0638352580144883,X -> CO2
global,bande,CSULF,2.3349635126394365e-06,0.08873941477874947,X -> CO2
global,bande,CDUVB,0.15402061717100235,0.9898706218274537,none
global,bande,DUVB,0.4566767704108171,0.32490882477858385,none
global,bande,ALBDO,0.3405221570110095,0.1665175289752483,none
temperate_N,bande,T2m,0.013186719125262423,0.3028750342921034,X -> CO2
temperate_N,bande,T500,0.7828147647390196,0.03379312845076559,CO2 -> X
temperate_N,bande,SPFH2m,0.09018324139095173,0.057633517789025396,none
temperate_N,bande,PWAT,0.19613950402825897,0.07176565658258943,none
temperate_N,bande,APCP,0.0005908869348083103,1.7838564906241062e-05,bidirectional
temperate_N,bande,TCDC,0.0028016726180758525,0.015048159661647907,bidirectional
temperate_N,bande,DLWRF,0.09786983663228553,0.04254161373594316,CO2 -> X
