band,var,amplitude
austral,DSWRF,335.2683512748776
austral,PWAT,3.0269025927779034
austral,T2m,13.978547701371866
austral,TCDC,10.129313034696409
boreal,DSWRF,247.70042092099368
boreal,PWAT,12.923972666142598
boreal,T2m,27.67948208489051
boreal,TCDC,9.352582672138695
temperate_N,DSWRF,200.4529405515545
temperate_N,PWAT,16.82682232561159
temperate_N,T2m,18.906776674279854
temperate_N,TCDC,17.861053404152095
temperate_S,DSWRF,207.64321432892172
temperate_S,PWAT,7.443166240607498
temperate_S,T2m,5.132767828490955
temperate_S,TCDC,6.951138077403968
tropical,DSWRF,34.43270225563995
tropical,PWAT,1.8213517977402276
tropical,T2m,1.1689117272250087
tropical,TCDC,3.1337325676913963
